Date,Open,High,Low,Close,Adj Close,Volume
2021-08-12,482.600006,491.200012,476.200012,482.000000,482.000000,16350894
2021-08-13,471.200012,476.200012,461.399994,470.200012,470.200012,26417507
2021-08-16,463.600006,466.399994,449.000000,453.799988,453.799988,29020693
2021-08-17,442.799988,446.399994,433.000000,435.000000,435.000000,43144121
2021-08-18,430.000000,443.000000,430.000000,436.200012,436.200012,26596939
2021-08-19,448.000000,450.799988,419.200012,421.200012,421.200012,51101738
2021-08-20,421.200012,433.200012,412.200012,425.399994,425.399994,52135904
2021-08-23,440.000000,444.000000,431.600006,433.799988,433.799988,44618406
2021-08-24,446.799988,472.000000,445.200012,472.000000,472.000000,49519276
2021-08-25,491.600006,491.600006,467.799988,474.600006,474.600006,41229670
2021-08-26,474.600006,480.799988,468.399994,471.799988,471.799988,17297873
2021-08-27,469.000000,483.600006,462.600006,466.399994,466.399994,23463441
2021-08-30,464.200012,468.399994,457.600006,465.799988,465.799988,18475336
2021-08-31,462.799988,481.200012,447.200012,481.200012,481.200012,52180434
2021-09-01,485.000000,494.600006,477.799988,488.399994,488.399994,35295245
2021-09-02,499.000000,510.000000,493.000000,496.000000,496.000000,40472033
2021-09-03,496.600006,497.600006,481.600006,488.000000,488.000000,27140480
2021-09-06,489.399994,507.000000,488.200012,505.000000,505.000000,26773925
2021-09-07,510.000000,520.000000,508.000000,515.500000,515.500000,24963247
2021-09-08,526.000000,529.000000,512.500000,524.500000,524.500000,32995933
2021-09-09,509.000000,511.500000,479.000000,480.000000,480.000000,54090872
2021-09-10,491.200012,494.799988,481.200012,490.000000,490.000000,35671160
2021-09-13,480.000000,481.200012,471.000000,478.000000,478.000000,27815639
2021-09-14,476.399994,482.799988,468.799988,472.799988,472.799988,19905281
2021-09-15,458.000000,464.000000,451.200012,453.399994,453.399994,36166267
2021-09-16,446.799988,454.799988,445.000000,451.000000,451.000000,24519868
2021-09-17,445.799988,467.600006,445.200012,461.799988,461.799988,23982628
2021-09-20,456.600006,457.399994,448.000000,454.200012,454.200012,15513224
2021-09-21,446.000000,453.799988,443.200012,450.000000,450.000000,16556875
2021-09-23,460.200012,469.600006,456.399994,463.200012,463.200012,22210868
2021-09-24,461.399994,473.399994,456.200012,460.200012,460.200012,16656914
2021-09-27,459.000000,473.000000,455.200012,464.600006,464.600006,17966998
2021-09-28,467.000000,476.200012,464.600006,469.799988,469.799988,20947276
2021-09-29,461.600006,465.000000,450.200012,465.000000,465.000000,18250450
2021-09-30,456.000000,464.600006,453.799988,461.399994,461.399994,17335451
2021-10-04,470.000000,470.000000,454.399994,457.000000,457.000000,11720256
2021-10-05,446.200012,453.600006,445.399994,450.000000,450.000000,11881767
2021-10-06,454.000000,454.000000,445.600006,446.399994,446.399994,10847755
2021-10-07,455.000000,472.799988,454.200012,471.399994,471.399994,14550659
2021-10-08,490.000000,490.000000,472.000000,481.799988,481.799988,29806385
2021-10-11,492.600006,498.600006,489.000000,496.000000,496.000000,26204010
2021-10-12,487.000000,490.000000,480.200012,483.200012,483.200012,16448461
2021-10-15,491.799988,500.000000,484.399994,495.600006,495.600006,29126835
2021-10-18,499.399994,499.399994,485.399994,497.000000,497.000000,20730047
2021-10-19,495.399994,500.000000,490.600006,499.000000,499.000000,15427765
2021-10-20,508.000000,515.000000,504.500000,509.500000,509.500000,32724023
2021-10-21,509.500000,512.500000,500.000000,505.500000,505.500000,16682945
2021-10-22,507.500000,512.000000,502.500000,509.500000,509.500000,12743265
2021-10-25,505.500000,510.000000,501.000000,505.000000,505.000000,12257502
2021-10-26,507.500000,508.000000,495.600006,502.000000,502.000000,15309144
2021-10-27,490.799988,491.600006,482.200012,487.000000,487.000000,18715924
2021-10-28,485.799988,494.000000,485.799988,488.200012,488.200012,13673231
2021-10-29,486.799988,488.399994,481.000000,481.000000,481.000000,16440521
2021-11-01,476.399994,476.799988,465.000000,469.600006,469.600006,22649546
2021-11-02,478.600006,482.000000,460.200012,464.000000,464.000000,33005998
2021-11-03,462.000000,470.000000,457.799988,469.000000,469.000000,19362664
2021-11-04,475.200012,481.799988,473.799988,480.799988,480.799988,16440685
2021-11-05,472.000000,474.200012,465.200012,467.399994,467.399994,20019234
2021-11-08,460.200012,464.000000,453.399994,463.799988,463.799988,22340751
2021-11-09,469.000000,471.000000,459.600006,464.000000,464.000000,13607437
2021-11-10,469.000000,486.799988,466.000000,483.600006,483.600006,30617440
2021-11-11,478.000000,480.200012,467.000000,477.600006,477.600006,36035177
2021-11-12,487.799988,491.399994,481.799988,485.200012,485.200012,23829660
2021-11-15,492.000000,494.799988,489.000000,491.799988,491.799988,19394604
2021-11-16,497.399994,509.000000,494.200012,502.500000,502.500000,28263210
2021-11-17,504.000000,509.000000,498.600006,509.000000,509.000000,21444520
2021-11-18,502.000000,503.500000,492.799988,496.799988,496.799988,19321893
2021-11-19,486.600006,496.600006,485.000000,496.000000,496.000000,15212834
2021-11-22,498.000000,501.500000,491.000000,494.399994,494.399994,14686779
2021-11-23,484.000000,485.799988,479.000000,481.200012,481.200012,18725940
2021-11-24,473.200012,480.799988,467.399994,472.200012,472.200012,26021973
2021-11-25,472.200012,482.399994,471.000000,477.799988,477.799988,16939716
2021-11-26,472.600006,472.600006,460.000000,463.399994,463.399994,32885505
2021-11-29,462.000000,471.200012,461.399994,462.399994,462.399994,19509506
2021-11-30,457.600006,460.200012,449.000000,459.399994,459.399994,35586276
2021-12-01,462.600006,473.600006,461.399994,468.799988,468.799988,20341120
2021-12-02,467.000000,473.600006,463.600006,473.600006,473.600006,17719866
2021-12-03,468.799988,468.799988,457.600006,462.600006,462.600006,22496991
2021-12-06,448.799988,459.600006,447.600006,447.799988,447.799988,30958158
2021-12-07,457.799988,464.000000,451.600006,463.799988,463.799988,23235595
2021-12-08,467.600006,470.399994,465.000000,467.000000,467.000000,15173269
2021-12-09,474.399994,474.399994,471.000000,472.600006,472.600006,13353686
2021-12-10,471.000000,474.000000,461.600006,463.399994,463.399994,15230505
2021-12-13,470.600006,481.000000,466.600006,466.600006,466.600006,22239831
2021-12-14,460.000000,465.600006,457.399994,459.799988,459.799988,13651585
2021-12-15,459.600006,464.399994,453.200012,455.799988,455.799988,13371932
2021-12-16,452.000000,455.200012,448.200012,452.600006,452.600006,21029463
2021-12-17,447.000000,447.200012,438.000000,438.000000,438.000000,28284431
2021-12-20,437.399994,439.600006,429.000000,430.000000,430.000000,20413076
2021-12-21,430.000000,446.799988,429.399994,440.799988,440.799988,17226545
2021-12-22,450.000000,450.799988,440.399994,443.000000,443.000000,13839639
2021-12-23,454.000000,468.799988,449.200012,461.799988,461.799988,32952274
2021-12-24,460.799988,460.799988,460.799988,460.799988,460.799988,0
2021-12-28,457.799988,459.200012,445.000000,450.399994,450.399994,18949609
2021-12-29,443.600006,445.600006,440.399994,444.799988,444.799988,9589399
2021-12-30,446.399994,450.799988,442.000000,443.399994,443.399994,7664650
2021-12-31,462.000000,462.000000,455.200012,456.799988,456.799988,9875225
2022-01-03,459.799988,463.000000,453.000000,453.799988,453.799988,6021146
2022-01-04,455.399994,458.000000,445.399994,450.000000,450.000000,13562081
2022-01-05,442.399994,444.000000,429.000000,430.600006,430.600006,31926972
2022-01-06,421.000000,437.200012,421.000000,437.000000,437.000000,22394447
2022-01-07,445.000000,448.399994,438.399994,443.000000,443.000000,20813417
2022-01-10,434.829437,443.758972,429.394073,439.876587,439.876587,20153237
2022-01-11,444.535461,448.417877,440.847168,446.476654,446.476654,16902063
2022-01-12,457.929779,466.665192,455.406189,466.665192,466.665192,29130943
2022-01-13,471.712311,471.712311,458.512115,461.229797,461.229797,18863209
2022-01-14,448.417877,460.259216,448.417877,459.482727,459.482727,14138429
2022-01-17,458.123871,459.870972,450.359070,451.912048,451.912048,13066889
2022-01-18,454.047363,457.153290,437.547119,439.488342,439.488342,24250731
2022-01-19,439.682465,444.535461,436.770660,442.400146,442.400146,18019787
2022-01-20,442.000000,472.000000,442.000000,471.600006,471.600006,29536303
2022-01-21,468.799988,478.399994,467.000000,474.799988,474.799988,26820113
2022-01-24,470.000000,473.600006,465.799988,469.600006,469.600006,14677184
2022-01-25,459.399994,468.000000,459.399994,466.799988,466.799988,24998708
2022-01-26,470.000000,476.600006,466.000000,473.600006,473.600006,21619270
2022-01-27,465.000000,467.000000,457.799988,463.000000,463.000000,20507145
2022-01-28,463.000000,464.000000,455.600006,460.000000,460.000000,15027473
2022-01-31,471.200012,471.200012,471.200012,471.200012,471.200012,0
2022-02-04,483.000000,483.000000,471.000000,479.000000,479.000000,15930509
2022-02-07,482.000000,482.000000,470.200012,478.000000,478.000000,15382223
2022-02-08,474.600006,476.000000,469.000000,470.000000,470.000000,18754239
2022-02-09,480.000000,483.600006,476.600006,482.799988,482.799988,23365228
2022-02-10,488.000000,488.000000,475.799988,484.399994,484.399994,18808693
2022-02-11,478.799988,483.600006,472.399994,477.000000,477.000000,15523403
2022-02-14,470.200012,472.600006,465.399994,472.000000,472.000000,12861260
2022-02-15,472.000000,474.600006,466.399994,470.000000,470.000000,13889441
2022-02-16,477.000000,477.000000,471.200012,476.200012,476.200012,12209598
2022-02-17,476.200012,479.600006,472.000000,479.000000,479.000000,12923901
2022-02-18,479.000000,482.799988,468.000000,470.000000,470.000000,24032950
2022-02-21,464.200012,466.799988,440.600006,445.399994,445.399994,46042457
2022-02-22,432.200012,445.200012,432.200012,444.799988,444.799988,30562929
2022-02-23,442.399994,451.399994,442.399994,445.000000,445.000000,20241593
2022-02-24,436.200012,439.600006,423.600006,427.799988,427.799988,33972108
2022-02-25,432.399994,439.000000,420.200012,424.000000,424.000000,25527592
2022-02-28,420.000000,425.399994,414.399994,421.200012,421.200012,26849319
2022-03-01,421.200012,439.000000,420.399994,431.000000,431.000000,19308969
2022-03-02,427.000000,434.799988,422.799988,423.399994,423.399994,14011686
2022-03-03,422.799988,426.399994,415.399994,418.799988,418.799988,19870075
2022-03-04,403.000000,406.200012,400.000000,403.200012,403.200012,41553093
